Time, N1, N2, EGT1, EGT2, Fuel Level, Fuel Flow
2024-12-27-19:32:57.582, 50, 50, 20, 20, 20000, 0.025
2024-12-27-19:32:57.587, 100, 100, 20, 20, 20000, 0.05
2024-12-27-19:32:57.592, 150, 150, 20, 20, 20000, 0.075
2024-12-27-19:32:57.597, 200, 200, 20, 20, 20000, 0.1
2024-12-27-19:32:57.602, 250, 250, 20, 20, 20000, 0.125
2024-12-27-19:32:57.607, 300, 300, 20, 20, 20000, 0.15
2024-12-27-19:32:57.612, 350, 350, 20, 20, 20000, 0.175
2024-12-27-19:32:57.617, 400, 400, 20, 20, 20000, 0.2
2024-12-27-19:32:57.622, 450, 450, 20, 20, 20000, 0.225
2024-12-27-19:32:57.627, 500, 500, 20, 20, 20000, 0.25
2024-12-27-19:32:57.632, 550, 550, 20, 20, 20000, 0.275
2024-12-27-19:32:57.637, 600, 600, 20, 20, 20000, 0.3
2024-12-27-19:32:57.642, 650, 650, 20, 20, 20000, 0.325
2024-12-27-19:32:57.647, 700, 700, 20, 20, 20000, 0.35
2024-12-27-19:32:57.652, 750, 750, 20, 20, 20000, 0.375
2024-12-27-19:32:57.657, 800, 800, 20, 20, 20000, 0.4
2024-12-27-19:32:57.662, 850, 850, 20, 20, 20000, 0.425
2024-12-27-19:32:57.667, 900, 900, 20, 20, 20000, 0.45
2024-12-27-19:32:57.672, 950, 950, 20, 20, 20000, 0.475
2024-12-27-19:32:57.677, 1000, 1000, 20, 20, 20000, 0.5
2024-12-27-19:32:57.682, 1050, 1050, 20, 20, 20000, 0.525
2024-12-27-19:32:57.687, 1100, 1100, 20, 20, 20000, 0.55
2024-12-27-19:32:57.692, 1150, 1150, 20, 20, 20000, 0.575
2024-12-27-19:32:57.697, 1200, 1200, 20, 20, 20000, 0.6
2024-12-27-19:32:57.702, 1250, 1250, 20, 20, 20000, 0.625
2024-12-27-19:32:57.707, 1300, 1300, 20, 20, 20000, 0.65
2024-12-27-19:32:57.712, 1350, 1350, 20, 20, 20000, 0.675
2024-12-27-19:32:57.717, 1400, 1400, 20, 20, 19999.9, 0.7
2024-12-27-19:32:57.722, 1450, 1450, 20, 20, 19999.9, 0.725
2024-12-27-19:32:57.727, 1500, 1500, 20, 20, 19999.9, 0.75
2024-12-27-19:32:57.732, 1550, 1550, 20, 20, 19999.9, 0.775
2024-12-27-19:32:57.737, 1600, 1600, 20, 20, 19999.9, 0.8
2024-12-27-19:32:57.742, 1650, 1650, 20, 20, 19999.9, 0.825
2024-12-27-19:32:57.747, 1700, 1700, 20, 20, 19999.9, 0.85
2024-12-27-19:32:57.752, 1750, 1750, 20, 20, 19999.9, 0.875
2024-12-27-19:32:57.757, 1800, 1800, 20, 20, 19999.9, 0.9
2024-12-27-19:32:57.762, 1850, 1850, 20, 20, 19999.9, 0.925
2024-12-27-19:32:57.767, 1900, 1900, 20, 20, 19999.9, 0.95
2024-12-27-19:32:57.772, 1950, 1950, 20, 20, 19999.9, 0.975
2024-12-27-19:32:57.777, 2000, 2000, 20, 20, 19999.9, 1
2024-12-27-19:32:57.782, 2050, 2050, 20, 20, 19999.9, 1.025
2024-12-27-19:32:57.787, 2100, 2100, 20, 20, 19999.9, 1.05
2024-12-27-19:32:57.792, 2150, 2150, 20, 20, 19999.9, 1.075
2024-12-27-19:32:57.797, 2200, 2200, 20, 20, 19999.9, 1.1
2024-12-27-19:32:57.802, 2250, 2250, 20, 20, 19999.9, 1.125
2024-12-27-19:32:57.807, 2300, 2300, 20, 20, 19999.9, 1.15
2024-12-27-19:32:57.813, 2350, 2350, 20, 20, 19999.9, 1.175
2024-12-27-19:32:57.818, 2400, 2400, 20, 20, 19999.9, 1.2
2024-12-27-19:32:57.823, 2450, 2450, 20, 20, 19999.8, 1.225
2024-12-27-19:32:57.828, 2500, 2500, 20, 20, 19999.8, 1.25
2024-12-27-19:32:57.833, 2550, 2550, 20, 20, 19999.8, 1.275
2024-12-27-19:32:57.838, 2600, 2600, 20, 20, 19999.8, 1.3
2024-12-27-19:32:57.843, 2650, 2650, 20, 20, 19999.8, 1.325
2024-12-27-19:32:57.848, 2700, 2700, 20, 20, 19999.8, 1.35
2024-12-27-19:32:57.853, 2750, 2750, 20, 20, 19999.8, 1.375
2024-12-27-19:32:57.858, 2800, 2800, 20, 20, 19999.8, 1.4
2024-12-27-19:32:57.863, 2850, 2850, 20, 20, 19999.8, 1.425
2024-12-27-19:32:57.868, 2900, 2900, 20, 20, 19999.8, 1.45
2024-12-27-19:32:57.873, 2950, 2950, 20, 20, 19999.8, 1.475
2024-12-27-19:32:57.878, 3000, 3000, 20, 20, 19999.8, 1.5
2024-12-27-19:32:57.883, 3050, 3050, 20, 20, 19999.8, 1.525
2024-12-27-19:32:57.888, 3100, 3100, 20, 20, 19999.8, 1.55
2024-12-27-19:32:57.893, 3150, 3150, 20, 20, 19999.7, 1.575
2024-12-27-19:32:57.898, 3200, 3200, 20, 20, 19999.7, 1.6
2024-12-27-19:32:57.903, 3250, 3250, 20, 20, 19999.7, 1.625
2024-12-27-19:32:57.908, 3300, 3300, 20, 20, 19999.7, 1.65
2024-12-27-19:32:57.913, 3350, 3350, 20, 20, 19999.7, 1.675
2024-12-27-19:32:57.918, 3400, 3400, 20, 20, 19999.7, 1.7
2024-12-27-19:32:57.923, 3450, 3450, 20, 20, 19999.7, 1.725
2024-12-27-19:32:57.928, 3500, 3500, 20, 20, 19999.7, 1.75
2024-12-27-19:32:57.933, 3550, 3550, 20, 20, 19999.7, 1.775
2024-12-27-19:32:57.938, 3600, 3600, 20, 20, 19999.7, 1.8
2024-12-27-19:32:57.943, 3650, 3650, 20, 20, 19999.7, 1.825
2024-12-27-19:32:57.948, 3700, 3700, 20, 20, 19999.7, 1.85
2024-12-27-19:32:57.953, 3750, 3750, 20, 20, 19999.6, 1.875
2024-12-27-19:32:57.958, 3800, 3800, 20, 20, 19999.6, 1.9
2024-12-27-19:32:57.963, 3850, 3850, 20, 20, 19999.6, 1.925
2024-12-27-19:32:57.968, 3900, 3900, 20, 20, 19999.6, 1.95
2024-12-27-19:32:57.973, 3950, 3950, 20, 20, 19999.6, 1.975
2024-12-27-19:32:57.978, 4000, 4000, 20, 20, 19999.6, 2
2024-12-27-19:32:57.983, 4050, 4050, 20, 20, 19999.6, 2.025
2024-12-27-19:32:57.988, 4100, 4100, 20, 20, 19999.6, 2.05
2024-12-27-19:32:57.993, 4150, 4150, 20, 20, 19999.6, 2.075
2024-12-27-19:32:57.998, 4200, 4200, 20, 20, 19999.6, 2.1
2024-12-27-19:32:58.003, 4250, 4250, 20, 20, 19999.5, 2.125
2024-12-27-19:32:58.008, 4300, 4300, 20, 20, 19999.5, 2.15
2024-12-27-19:32:58.013, 4350, 4350, 20, 20, 19999.5, 2.175
2024-12-27-19:32:58.018, 4400, 4400, 20, 20, 19999.5, 2.2
2024-12-27-19:32:58.023, 4450, 4450, 20, 20, 19999.5, 2.225
2024-12-27-19:32:58.028, 4500, 4500, 20, 20, 19999.5, 2.25
2024-12-27-19:32:58.033, 4550, 4550, 20, 20, 19999.5, 2.275
2024-12-27-19:32:58.038, 4600, 4600, 20, 20, 19999.5, 2.3
2024-12-27-19:32:58.043, 4650, 4650, 20, 20, 19999.5, 2.325
2024-12-27-19:32:58.048, 4700, 4700, 20, 20, 19999.4, 2.35
2024-12-27-19:32:58.053, 4750, 4750, 20, 20, 19999.4, 2.375
2024-12-27-19:32:58.058, 4800, 4800, 20, 20, 19999.4, 2.4
2024-12-27-19:32:58.063, 4850, 4850, 20, 20, 19999.4, 2.425
2024-12-27-19:32:58.068, 4900, 4900, 20, 20, 19999.4, 2.45
2024-12-27-19:32:58.073, 4950, 4950, 20, 20, 19999.4, 2.475
2024-12-27-19:32:58.078, 5000, 5000, 20, 20, 19999.4, 2.5
2024-12-27-19:32:58.083, 5050, 5050, 20, 20, 19999.4, 2.525
2024-12-27-19:32:58.088, 5100, 5100, 20, 20, 19999.3, 2.55
2024-12-27-19:32:58.093, 5150, 5150, 20, 20, 19999.3, 2.575
2024-12-27-19:32:58.098, 5200, 5200, 20, 20, 19999.3, 2.6
2024-12-27-19:32:58.103, 5250, 5250, 20, 20, 19999.3, 2.625
2024-12-27-19:32:58.108, 5300, 5300, 20, 20, 19999.3, 2.65
2024-12-27-19:32:58.113, 5350, 5350, 20, 20, 19999.3, 2.675
2024-12-27-19:32:58.118, 5400, 5400, 20, 20, 19999.3, 2.7
2024-12-27-19:32:58.123, 5450, 5450, 20, 20, 19999.3, 2.725
2024-12-27-19:32:58.128, 5500, 5500, 20, 20, 19999.2, 2.75
2024-12-27-19:32:58.133, 5550, 5550, 20, 20, 19999.2, 2.775
2024-12-27-19:32:58.138, 5600, 5600, 20, 20, 19999.2, 2.8
2024-12-27-19:32:58.143, 5650, 5650, 20, 20, 19999.2, 2.825
2024-12-27-19:32:58.148, 5700, 5700, 20, 20, 19999.2, 2.85
2024-12-27-19:32:58.153, 5750, 5750, 20, 20, 19999.2, 2.875
2024-12-27-19:32:58.158, 5800, 5800, 20, 20, 19999.2, 2.9
2024-12-27-19:32:58.163, 5850, 5850, 20, 20, 19999.1, 2.925
2024-12-27-19:32:58.168, 5900, 5900, 20, 20, 19999.1, 2.95
2024-12-27-19:32:58.173, 5950, 5950, 20, 20, 19999.1, 2.975
2024-12-27-19:32:58.178, 6000, 6000, 20, 20, 19999.1, 3
2024-12-27-19:32:58.183, 6050, 6050, 20, 20, 19999.1, 3.025
2024-12-27-19:32:58.188, 6100, 6100, 20, 20, 19999.1, 3.05
2024-12-27-19:32:58.193, 6150, 6150, 20, 20, 19999, 3.075
2024-12-27-19:32:58.198, 6200, 6200, 20, 20, 19999, 3.1
2024-12-27-19:32:58.203, 6250, 6250, 20, 20, 19999, 3.125
2024-12-27-19:32:58.208, 6300, 6300, 20, 20, 19999, 3.15
2024-12-27-19:32:58.213, 6350, 6350, 20, 20, 19999, 3.175
2024-12-27-19:32:58.218, 6400, 6400, 20, 20, 19999, 3.2
2024-12-27-19:32:58.223, 6450, 6450, 20, 20, 19999, 3.225
2024-12-27-19:32:58.228, 6500, 6500, 20, 20, 19998.9, 3.25
2024-12-27-19:32:58.233, 6550, 6550, 20, 20, 19998.9, 3.275
2024-12-27-19:32:58.238, 6600, 6600, 20, 20, 19998.9, 3.3
2024-12-27-19:32:58.243, 6650, 6650, 20, 20, 19998.9, 3.325
2024-12-27-19:32:58.248, 6700, 6700, 20, 20, 19998.9, 3.35
2024-12-27-19:32:58.253, 6750, 6750, 20, 20, 19998.9, 3.375
2024-12-27-19:32:58.258, 6800, 6800, 20, 20, 19998.8, 3.4
2024-12-27-19:32:58.263, 6850, 6850, 20, 20, 19998.8, 3.425
2024-12-27-19:32:58.268, 6900, 6900, 20, 20, 19998.8, 3.45
2024-12-27-19:32:58.273, 6950, 6950, 20, 20, 19998.8, 3.475
2024-12-27-19:32:58.278, 7000, 7000, 20, 20, 19998.8, 3.5
2024-12-27-19:32:58.283, 7050, 7050, 20, 20, 19998.7, 3.525
2024-12-27-19:32:58.288, 7100, 7100, 20, 20, 19998.7, 3.55
2024-12-27-19:32:58.293, 7150, 7150, 20, 20, 19998.7, 3.575
2024-12-27-19:32:58.298, 7200, 7200, 20, 20, 19998.7, 3.6
2024-12-27-19:32:58.303, 7250, 7250, 20, 20, 19998.7, 3.625
2024-12-27-19:32:58.308, 7300, 7300, 20, 20, 19998.7, 3.65
2024-12-27-19:32:58.313, 7350, 7350, 20, 20, 19998.6, 3.675
2024-12-27-19:32:58.318, 7400, 7400, 20, 20, 19998.6, 3.7
2024-12-27-19:32:58.323, 7450, 7450, 20, 20, 19998.6, 3.725
2024-12-27-19:32:58.328, 7500, 7500, 20, 20, 19998.6, 3.75
2024-12-27-19:32:58.333, 7550, 7550, 20, 20, 19998.6, 3.775
2024-12-27-19:32:58.338, 7600, 7600, 20, 20, 19998.5, 3.8
